timestamp,x,y,theta,State,State number
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
1.61428E+12,-1.25,1.25,0,Rotate,0
