timestamp;x;y;theta
1614280888425;-1.086000000000018;1.25;0
1614280888445;-1.0820000000000185;1.25;0
1614280888465;-1.078000000000019;1.25;0
1614280888485;-1.0740000000000194;1.25;0
1614280888505;-1.0700000000000198;1.25;0
1614280888525;-1.0660000000000203;1.25;0
1614280888545;-1.0620000000000207;1.25;0
1614280888565;-1.0580000000000211;1.25;0
1614280888585;-1.0540000000000216;1.25;0
1614280888608;-1.050000000000022;1.25;0
1614280888625;-1.0460000000000225;1.25;0
1614280888647;-1.042000000000023;1.25;0
1614280888667;-1.0380000000000233;1.25;0
1614280888685;-1.0340000000000238;1.25;0
1614280888706;-1.0300000000000242;1.25;0
1614280888726;-1.0260000000000247;1.25;0
1614280888747;-1.022000000000025;1.25;0
1614280888767;-1.0180000000000256;1.25;0
1614280888786;-1.014000000000026;1.25;0
1614280888806;-1.0100000000000264;1.25;0
1614280888825;-1.0060000000000269;1.25;0
1614280888851;-1.0020000000000273;1.25;0
1614280888867;-0.9980000000000278;1.25;0
1614280888887;-0.9940000000000282;1.25;0
1614280888906;-0.9900000000000286;1.25;0
1614280888927;-0.9860000000000291;1.25;0
1614280888948;-0.9820000000000295;1.25;0
1614280888967;-0.97800000000003;1.25;0
1614280888986;-0.9740000000000304;1.25;0
1614280889006;-0.9700000000000308;1.25;0
1614280889027;-0.9660000000000313;1.25;0
1614280889046;-0.9620000000000317;1.25;0
1614280889066;-0.9580000000000322;1.25;0
1614280889086;-0.9540000000000326;1.25;0
1614280889105;-0.950000000000033;1.25;0
1614280889125;-0.9460000000000335;1.25;0
1614280889145;-0.9420000000000339;1.25;0
1614280889165;-0.9380000000000344;1.25;0
1614280889186;-0.9340000000000348;1.25;0
1614280889239;-0.9300000000000352;1.25;0
1614280889245;-0.9260000000000357;1.25;0
1614280889264;-0.9220000000000361;1.25;0
1614280889285;-0.9180000000000366;1.25;0
1614280889304;-0.914000000000037;1.25;0
1614280889324;-0.9100000000000374;1.25;0
1614280889344;-0.9060000000000379;1.25;0
1614280889365;-0.9020000000000383;1.25;0
1614280889386;-0.8980000000000388;1.25;0
1614280889405;-0.8940000000000392;1.25;0
1614280889425;-0.8900000000000396;1.25;0
1614280889445;-0.8860000000000401;1.25;0
1614280889465;-0.8820000000000405;1.25;0
1614280889485;-0.878000000000041;1.25;0
1614280889505;-0.8740000000000414;1.25;0
1614280889525;-0.8700000000000419;1.25;0
1614280889546;-0.8660000000000423;1.25;0
1614280889565;-0.8620000000000427;1.25;0
1614280889586;-0.8580000000000432;1.25;0
1614280889611;-0.856020000000044;1.25;0
1614280889625;-0.8540400000000448;1.25;0
1614280889649;-0.8520600000000456;1.25;0
1614280889667;-0.8500800000000464;1.25;0
1614280889686;-0.8481000000000471;1.25;0
1614280889706;-0.846120000000048;1.25;0
1614280889725;-0.8441400000000487;1.25;0
1614280889747;-0.8421600000000495;1.25;0
1614280889768;-0.8401800000000503;1.25;0
1614280889786;-0.8382000000000511;1.25;0
1614280889805;-0.8362200000000519;1.25;0
1614280889826;-0.8342400000000527;1.25;0
1614280889851;-0.8322600000000535;1.25;0
1614280889868;-0.8302800000000543;1.25;0
1614280889887;-0.8283000000000551;1.25;0
1614280889905;-0.8263200000000559;1.25;0
1614280889926;-0.8243400000000567;1.25;0
1614280889947;-0.8223600000000575;1.25;0
1614280889966;-0.8203800000000583;1.25;0
1614280889987;-0.8184000000000591;1.25;0
1614280890005;-0.8164200000000599;1.25;0
1614280890028;-0.8144400000000607;1.25;0
1614280890046;-0.8124600000000615;1.25;0
1614280890065;-0.8104800000000623;1.25;0
1614280890085;-0.8085000000000631;1.25;0
1614280890105;-0.8065200000000639;1.25;0
1614280890125;-0.8045400000000646;1.25;0
1614280890145;-0.8025600000000654;1.25;0
1614280890165;-0.8005800000000662;1.25;0
1614280890186;-0.798600000000067;1.25;0
1614280890236;-0.7966200000000678;1.25;0
1614280890244;-0.7946400000000686;1.25;0
1614280890264;-0.7926600000000694;1.25;0
1614280890285;-0.7906800000000702;1.25;0
1614280890304;-0.788700000000071;1.25;0
1614280890324;-0.7867200000000718;1.25;0
1614280890344;-0.7847400000000726;1.25;0
1614280890364;-0.7827600000000734;1.25;0
1614280890386;-0.7807800000000742;1.25;0
1614280890405;-0.778800000000075;1.25;0
1614280890425;-0.7768200000000758;1.25;0
1614280890445;-0.7748400000000766;1.25;0
1614280890465;-0.7728600000000774;1.25;0
1614280890485;-0.7708800000000782;1.25;0
1614280890505;-0.768900000000079;1.25;0
1614280890525;-0.7669200000000798;1.25;0
1614280890545;-0.7649400000000806;1.25;0
1614280890565;-0.7629600000000814;1.25;0
1614280890586;-0.7609800000000821;1.25;0
1614280890607;-0.7608000000000814;1.25;0
1614280890624;-0.7606200000000807;1.25;0
1614280890645;-0.7604400000000799;1.25;0
1614280890664;-0.7602600000000792;1.25;0
1614280890684;-0.7600800000000785;1.25;0
1614280890704;-0.7599000000000777;1.25;0
1614280890724;-0.759720000000077;1.25;0
1614280890745;-0.7595400000000763;1.25;0
1614280890766;-0.7593600000000755;1.25;0
1614280890786;-0.7591800000000748;1.25;0
1614280890805;-0.7590000000000741;1.25;0
1614280890825;-0.7588200000000733;1.25;0
1614280890850;-0.7586400000000726;1.25;0
1614280890865;-0.7584600000000719;1.25;0
1614280890884;-0.7582800000000711;1.25;0
1614280890904;-0.7581000000000704;1.25;0
1614280890924;-0.7579200000000696;1.25;0
1614280890944;-0.7577400000000689;1.25;0
1614280890964;-0.7575600000000682;1.25;0
1614280890984;-0.7573800000000674;1.25;0
1614280891005;-0.7572000000000667;1.25;0
1614280891025;-0.757020000000066;1.25;0
1614280891044;-0.7568400000000652;1.25;0
1614280891065;-0.7566600000000645;1.25;0
1614280891085;-0.7564800000000638;1.25;0
