timestamp;x;y;theta
1614166371380;-0.7346;2.0382;-45.19999999999159
1614166371395;-0.7346;2.0382;-45.19999999999159
1614166371422;-0.7346;2.0382;-45.19999999999159
1614166371439;-0.7346;2.0382;-45.19999999999159
1614166371456;-0.7346;2.0382;-45.19999999999159
1614166371476;-0.7346;2.0382;-45.19999999999159
1614166371495;-0.7346;2.0382;-45.19999999999159
1614166371516;-0.7346;2.0382;-45.19999999999159
1614166371535;-0.7346;2.0382;-45.19999999999159
1614166371555;-0.7346;2.0382;-45.19999999999159
1614166371576;-0.7346;2.0382;-45.19999999999159
1614166371595;-0.7346;2.0382;-45.19999999999159
1614166371617;-0.7346;2.0382;-45.19999999999159
1614166371641;-0.7346;2.0382;-45.19999999999159
1614166371657;-0.7346;2.0382;-45.19999999999159
1614166371675;-0.7346;2.0382;-45.19999999999159
1614166371695;-0.7346;2.0382;-45.19999999999159
1614166371717;-0.7346;2.0382;-45.19999999999159
1614166371736;-0.7346;2.0382;-45.19999999999159
1614166371756;-0.7346;2.0382;-45.19999999999159
1614166371776;-0.7346;2.0382;-45.19999999999159
1614166371796;-0.7346;2.0382;-45.19999999999159
1614166371817;-0.7346;2.0382;-45.19999999999159
1614166371838;-0.7346;2.0382;-45.19999999999159
1614166371858;-0.7346;2.0382;-45.19999999999159
1614166371876;-0.7346;2.0382;-45.19999999999159
1614166371895;-0.7346;2.0382;-45.19999999999159
1614166371917;-0.7346;2.0382;-45.19999999999159
1614166371936;-0.7346;2.0382;-45.19999999999159
1614166371956;-0.7346;2.0382;-45.19999999999159
1614166371976;-0.7346;2.0382;-45.19999999999159
1614166371997;-0.7346;2.0382;-45.19999999999159
1614166372019;-0.7346;2.0382;-45.19999999999159
1614166372039;-0.7346;2.0382;-45.19999999999159
1614166372056;-0.7346;2.0382;-45.19999999999159
1614166372076;-0.7346;2.0382;-45.19999999999159
1614166372095;-0.7346;2.0382;-45.19999999999159
1614166372119;-0.7346;2.0382;-45.19999999999159
1614166372139;-0.7346;2.0382;-45.19999999999159
1614166372155;-0.7346;2.0382;-45.19999999999159
1614166372176;-0.7346;2.0382;-45.19999999999159
1614166372196;-0.7346;2.0382;-45.19999999999159
1614166372222;-0.7346;2.0382;-45.19999999999159
1614166372240;-0.7346;2.0382;-45.19999999999159
1614166372256;-0.7346;2.0382;-45.19999999999159
1614166372276;-0.7346;2.0382;-45.19999999999159
1614166372295;-0.7346;2.0382;-45.19999999999159
1614166372319;-0.7346;2.0382;-45.19999999999159
1614166372346;-0.7346;2.0382;-45.19999999999159
1614166372357;-0.7346;2.0382;-45.19999999999159
1614166372375;-0.7346;2.0382;-45.19999999999159
1614166372395;-0.7346;2.0382;-45.19999999999159
1614166372421;-0.7346;2.0382;-45.19999999999159
1614166372438;-0.7346;2.0382;-45.19999999999159
1614166372456;-0.7346;2.0382;-45.19999999999159
1614166372476;-0.7346;2.0382;-45.19999999999159
1614166372500;-0.7346;2.0382;-45.19999999999159
1614166372516;-0.7346;2.0382;-45.19999999999159
1614166372537;-0.7346;2.0382;-45.19999999999159
1614166372555;-0.7346;2.0382;-45.19999999999159
1614166372575;-0.7346;2.0382;-45.19999999999159
1614166372595;-0.7346;2.0382;-45.19999999999159
1614166372617;-0.7346;2.0382;-45.19999999999159
1614166372635;-0.7346;2.0382;-45.19999999999159
1614166372656;-0.7346;2.0382;-45.19999999999159
1614166372675;-0.7346;2.0382;-45.19999999999159
1614166372695;-0.7346;2.0382;-45.19999999999159
1614166372716;-0.7346;2.0382;-45.19999999999159
1614166372735;-0.7346;2.0382;-45.19999999999159
1614166372755;-0.7346;2.0382;-45.19999999999159
1614166372775;-0.7346;2.0382;-45.19999999999159
1614166372795;-0.7346;2.0382;-45.19999999999159
1614166372817;-0.7346;2.0382;-45.19999999999159
1614166372835;-0.7346;2.0382;-45.19999999999159
1614166372855;-0.7346;2.0382;-45.19999999999159
